Id,City,NeighborHood,AuxiliaryRoad, CoffeeShopName,StartAt,EndAt,CountOfFeaturs,PhoneNumber,free internet,hookah,cigarettes,parking-lot,Pose,Free-Delivery,View,BreakFast,Outdoor,Live-Music,TotalRate,QualityPoint,ServicePoint,DecorationPoint,WorthRatio
76,تهران,شهران جنوبی, بلوار کوهسار، خیابان فرهنگ، مجتمع کوهسار،بلوکB، واحد تجاری یک,گروک,10:00,24:00:00,3,2144368429,0,0,1,0,1,0,0,1,0,0,0.0,0,0,0,0
77,تهران,شیخ بهایی جنوبی, شهرک والفجر، رو به رو خیابان 9/3، پلاک 1، برج ارغوان,طهران قدیم,10:00,24:00:00,3,2188619635,0,0,1,0,1,0,0,1,0,0,0.0,0,0,0,0
78,تهران,میدان ونک, خیابان خدامی، خیابان آفتاب، پلاک 15,سوشه,8:30,24:00:00,4,2188621517,0,0,1,0,1,0,0,1,0,0,0.0,0,0,0,0
79,تهران,سعادت آباد,علامه جنوبی،٣٨غربي نبی اکرم،نبش۴۰ غربی،پلاك۱,روشن فکر,12:00,24:00:00,4,2188699291,1,0,0,0,1,0,0,1,1,0,0.0,0,0,0,0
80,تهران,شمال کاخ نیاوران,ابتدای کاشانک،پلاک۳۸۶,لوی لانژ,12:00,24:00:00,3,2126118451,1,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0
81,تهران,سعادت آباد,بلوار کوهستان، مجتمع اپال طبقه ۵,اسپیناچ,9:00,24:00:00,3,2122382637,1,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
82,تهران,تهرانپارس, بلوار باقری، فلکه سوم، لاین کندرو، پلاک ۸۴,نارین (تهرانپارس),12:00,24:00:00,2,0,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
83,تهران,خیابان دولت, چهار راه قنات اول، خیابان آقا میری، جنب بانک پاسارگاد، پلاک 45، طبقه همکف، کلینیک دانیان,انتظار,9:00,24:00:00,3,9355685643,1,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
84,تهران,نياوران, پايين تر از سه راه ياسر,دل وار,9:00,24:00:00,2,0,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
85,تهران,سعادت آباد, نبشه کوچه ی سی و دوم، پلاک ۵ ، طبقه ی اول,سیناک,12:00,24:00:00,4,2188686007,1,0,1,0,1,1,0,0,0,0,0.0,0,0,0,0
86,تهران,یوسف آباد, خیابان مهرام، جنب شیرینی فروشی بی بی,پارلان,9:00,24:00:00,2,2188009591,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
87,تهران,ولنجک,بلوار دانشجو،پایین تر از میدان یاسمن،پلاک12,آمانته,9:00,24:00:00,3,2122431318,1,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
88,تهران,ولنجک, بلوار دانشجو، پشت پارک گلریزان، روبروی مرکز خرید ولنجک,ژوزک (ولنجک),8:00,24:00:00,4,2122093205,1,0,0,0,1,1,0,1,0,0,0.0,0,0,0,0
89,تهران,خیابان مطهری, خیابان ترکمنستان، نبش بن‌ بست توسکا,برازا (مطهری),8:30,24:00:00,3,2188049332,1,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
90,تهران,آجودانیه,خیابان پور ابتهاج ، کوچه پوریا ، مجتمع کاج,ژیان(آجودانیه),8:00,24:00:00,3,2122809919,1,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
91,تهران,سعادت آباد, میدان بهرود، بلوار شقایق، رو به روی پارک ژوراسیک,هیرو,11:30,24:00:00,4,2122082070,1,0,1,0,1,0,0,0,1,0,0.0,0,0,0,0
92,تهران,فلکه اول تهرانپارس,انتهای مجتمع تجاری پارس، سمت راست، پلاک 12,خان کافه,8:00,24:00:00,2,2177726529,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
93,تهران,خیابان کریمخان,به سمت میدان ولیعصر،بن بست شاهد,اسنیک,10:00,24:00:00,4,2188890251,0,1,1,0,1,0,0,1,0,0,0.0,0,0,0,0
94,تهران,خيابان حافظ,نرسيده به بازار موبايل ايران،پلاك ١٧٠و١٧٢,عمارت حور,12:00,24:00:00,4,2166760796,0,1,1,0,1,0,0,0,1,0,0.0,0,0,0,0
95,تهران,شهرک غرب,بام پاساژ میلادنور،طبقه6،پلاک29,نیکی,10:00,24:00:00,5,2188370800,0,1,1,0,1,0,0,1,1,0,0.0,0,0,0,0
96,تهران,دزاشیب,نجابت جو،نرسیده به نیاوران،پلاک 16,رز ایرانی,12:00,24:00:00,3,9120037231,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0
97,تهران,زعفرانيه, انتهاي ماكويي پور شمالي، كوچه مسجد,نوبو,12:00,24:00:00,3,2126708017,0,1,0,0,1,0,0,1,0,0,0.0,0,0,0,0
98,تهران,خیابان سپهبد قرنی,کوچه امانی، پلاک ۵,دربار,12:00,24:00:00,5,2188802576,0,1,1,0,1,0,0,1,1,0,0.0,0,0,0,0
99,تهران,سهروردی شمالی,بین خیابان بهشتی و مطهری،بین کوچه آزادی و باغ،پلاک ۲۶۴,دلین,11:00,24:00:00,3,2186044356,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0
100,تهران,میدان هروی, میدان ملت، خیابان ریحانی(محمدی)، روبرو بانک پاسارگاد,ودود,10:00,24:00:00,4,2122334700,1,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0
101,تهران,نارمک, خیابان شهید مدنی، نظام آباد، بالاتر از مترو فدک، نبش کوچه علیجانی 122,کلبه فدک,11:00,24:00:00,4,2177035706,1,1,0,0,1,0,0,1,0,0,0.0,0,0,0,0
102,تهران,محمودیه, خیابان ب، نرسیده به بزرگراه چمران,ب کافه,8:30,24:00:00,5,2122666970,0,1,1,0,1,0,0,1,1,0,0.0,0,0,0,0
